seed_number,tau,rho
366,0.02,0.006
367,0.02,0.006
368,0.02,0.006
369,0.02,0.006
370,0.02,0.006
371,0.02,0.006
372,0.02,0.006
373,0.02,0.006
374,0.02,0.006
375,0.02,0.006
376,0.02,0.006
377,0.02,0.006
378,0.02,0.006
379,0.02,0.006
380,0.02,0.006
381,0.02,0.006
382,0.02,0.006
383,0.02,0.006
384,0.02,0.006
385,0.02,0.006
386,0.02,0.006
387,0.02,0.006
388,0.02,0.006
389,0.02,0.006
390,0.02,0.006
391,0.02,0.006
392,0.02,0.006
393,0.02,0.006
394,0.02,0.006
395,0.02,0.006
396,0.02,0.006
397,0.02,0.006
398,0.02,0.006
399,0.02,0.006
400,0.02,0.007
401,0.02,0.007
402,0.02,0.007
403,0.02,0.007
404,0.02,0.007
405,0.02,0.007
406,0.02,0.007
407,0.02,0.007
408,0.02,0.007
409,0.02,0.007
410,0.02,0.007
411,0.02,0.007
412,0.02,0.007
413,0.02,0.007
414,0.02,0.007
415,0.02,0.007
416,0.02,0.007
417,0.02,0.007
418,0.02,0.007
419,0.02,0.007
420,0.02,0.007
421,0.02,0.007
422,0.02,0.007
423,0.02,0.007
424,0.02,0.007
425,0.02,0.007
426,0.02,0.007
427,0.02,0.007
428,0.02,0.007
429,0.02,0.007
430,0.02,0.007
431,0.02,0.007
432,0.02,0.007
433,0.02,0.007
434,0.02,0.007
435,0.02,0.007
436,0.02,0.007
437,0.02,0.007
438,0.02,0.007
439,0.02,0.007
440,0.02,0.007
441,0.02,0.007
442,0.02,0.007
443,0.02,0.007
444,0.02,0.007
445,0.02,0.007
446,0.02,0.007
447,0.02,0.007
448,0.02,0.007
449,0.02,0.007
450,0.02,0.008
451,0.02,0.008
452,0.02,0.008
453,0.02,0.008
454,0.02,0.008
455,0.02,0.008
456,0.02,0.008
457,0.02,0.008
458,0.02,0.008
459,0.02,0.008
460,0.02,0.008
461,0.02,0.008
462,0.02,0.008
463,0.02,0.008
464,0.02,0.008
465,0.02,0.008
466,0.02,0.008
467,0.02,0.008
468,0.02,0.008
469,0.02,0.008
470,0.02,0.008
471,0.02,0.008
472,0.02,0.008
473,0.02,0.008
474,0.02,0.008
475,0.02,0.008
476,0.02,0.008
477,0.02,0.008
478,0.02,0.008
479,0.02,0.008
480,0.02,0.008
481,0.02,0.008
482,0.02,0.008
483,0.02,0.008
484,0.02,0.008
485,0.02,0.008
486,0.02,0.008
487,0.02,0.008
488,0.02,0.008
489,0.02,0.008
490,0.02,0.008
491,0.02,0.008
492,0.02,0.008
493,0.02,0.008
494,0.02,0.008
495,0.02,0.008
496,0.02,0.008
497,0.02,0.008
498,0.02,0.008
499,0.02,0.008
500,0.02,0.009000000000000001
501,0.02,0.009000000000000001
502,0.02,0.009000000000000001
503,0.02,0.009000000000000001
504,0.02,0.009000000000000001
505,0.02,0.009000000000000001
506,0.02,0.009000000000000001
507,0.02,0.009000000000000001
508,0.02,0.009000000000000001
509,0.02,0.009000000000000001
510,0.02,0.009000000000000001
511,0.02,0.009000000000000001
512,0.02,0.009000000000000001
513,0.02,0.009000000000000001
514,0.02,0.009000000000000001
515,0.02,0.009000000000000001
516,0.02,0.009000000000000001
517,0.02,0.009000000000000001
518,0.02,0.009000000000000001
519,0.02,0.009000000000000001
520,0.02,0.009000000000000001
521,0.02,0.009000000000000001
522,0.02,0.009000000000000001
523,0.02,0.009000000000000001
524,0.02,0.009000000000000001
525,0.02,0.009000000000000001
526,0.02,0.009000000000000001
527,0.02,0.009000000000000001
528,0.02,0.009000000000000001
529,0.02,0.009000000000000001
530,0.02,0.009000000000000001
531,0.02,0.009000000000000001
532,0.02,0.009000000000000001
533,0.02,0.009000000000000001
534,0.02,0.009000000000000001
535,0.02,0.009000000000000001
536,0.02,0.009000000000000001
537,0.02,0.009000000000000001
538,0.02,0.009000000000000001
539,0.02,0.009000000000000001
540,0.02,0.009000000000000001
541,0.02,0.009000000000000001
542,0.02,0.009000000000000001
543,0.02,0.009000000000000001
544,0.02,0.009000000000000001
545,0.02,0.009000000000000001
546,0.02,0.009000000000000001
547,0.02,0.009000000000000001
548,0.02,0.009000000000000001
549,0.02,0.009000000000000001
550,0.02,0.01
551,0.02,0.01
552,0.02,0.01
553,0.02,0.01
554,0.02,0.01
555,0.02,0.01
556,0.02,0.01
557,0.02,0.01
558,0.02,0.01
559,0.02,0.01
560,0.02,0.01
561,0.02,0.01
562,0.02,0.01
563,0.02,0.01
564,0.02,0.01
565,0.02,0.01
566,0.02,0.01
567,0.02,0.01
568,0.02,0.01
569,0.02,0.01
570,0.02,0.01
571,0.02,0.01
572,0.02,0.01
573,0.02,0.01
574,0.02,0.01
575,0.02,0.01
576,0.02,0.01
577,0.02,0.01
578,0.02,0.01
579,0.02,0.01
580,0.02,0.01
581,0.02,0.01
582,0.02,0.01
583,0.02,0.01
584,0.02,0.01
585,0.02,0.01
586,0.02,0.01
587,0.02,0.01
588,0.02,0.01
589,0.02,0.01
590,0.02,0.01
591,0.02,0.01
592,0.02,0.01
593,0.02,0.01
594,0.02,0.01
595,0.02,0.01
596,0.02,0.01
597,0.02,0.01
598,0.02,0.01
599,0.02,0.01
600,0.03,0.005
601,0.03,0.005
602,0.03,0.005
603,0.03,0.005
604,0.03,0.005
605,0.03,0.005
606,0.03,0.005
607,0.03,0.005
608,0.03,0.005
609,0.03,0.005
610,0.03,0.005
611,0.03,0.005
612,0.03,0.005
613,0.03,0.005
614,0.03,0.005
615,0.03,0.005
616,0.03,0.005
617,0.03,0.005
618,0.03,0.005
619,0.03,0.005
620,0.03,0.005
621,0.03,0.005
622,0.03,0.005
623,0.03,0.005
624,0.03,0.005
625,0.03,0.005
626,0.03,0.005
627,0.03,0.005
628,0.03,0.005
629,0.03,0.005
630,0.03,0.005
631,0.03,0.005
632,0.03,0.005
633,0.03,0.005
634,0.03,0.005
635,0.03,0.005
636,0.03,0.005
637,0.03,0.005
638,0.03,0.005
639,0.03,0.005
640,0.03,0.005
641,0.03,0.005
642,0.03,0.005
643,0.03,0.005
644,0.03,0.005
645,0.03,0.005
646,0.03,0.005
647,0.03,0.005
648,0.03,0.005
649,0.03,0.005
650,0.03,0.006
651,0.03,0.006
652,0.03,0.006
653,0.03,0.006
654,0.03,0.006
655,0.03,0.006
656,0.03,0.006
657,0.03,0.006
658,0.03,0.006
659,0.03,0.006
660,0.03,0.006
661,0.03,0.006
662,0.03,0.006
663,0.03,0.006
664,0.03,0.006
665,0.03,0.006
666,0.03,0.006
667,0.03,0.006
668,0.03,0.006
669,0.03,0.006
670,0.03,0.006
671,0.03,0.006
672,0.03,0.006
673,0.03,0.006
674,0.03,0.006
675,0.03,0.006
676,0.03,0.006
677,0.03,0.006
678,0.03,0.006
679,0.03,0.006
680,0.03,0.006
681,0.03,0.006
682,0.03,0.006
683,0.03,0.006
684,0.03,0.006
685,0.03,0.006
686,0.03,0.006
687,0.03,0.006
688,0.03,0.006
689,0.03,0.006
690,0.03,0.006
691,0.03,0.006
692,0.03,0.006
693,0.03,0.006
694,0.03,0.006
695,0.03,0.006
696,0.03,0.006
697,0.03,0.006
698,0.03,0.006
699,0.03,0.006
700,0.03,0.007
701,0.03,0.007
702,0.03,0.007
703,0.03,0.007
704,0.03,0.007
705,0.03,0.007
706,0.03,0.007
707,0.03,0.007
708,0.03,0.007
709,0.03,0.007
710,0.03,0.007
711,0.03,0.007
712,0.03,0.007
713,0.03,0.007
714,0.03,0.007
715,0.03,0.007
716,0.03,0.007
717,0.03,0.007
718,0.03,0.007
719,0.03,0.007
720,0.03,0.007
721,0.03,0.007
722,0.03,0.007
723,0.03,0.007
724,0.03,0.007
725,0.03,0.007
726,0.03,0.007
727,0.03,0.007
728,0.03,0.007
729,0.03,0.007
730,0.03,0.007
731,0.03,0.007
732,0.03,0.007
733,0.03,0.007
734,0.03,0.007
735,0.03,0.007
736,0.03,0.007
737,0.03,0.007
738,0.03,0.007
739,0.03,0.007
740,0.03,0.007
741,0.03,0.007
742,0.03,0.007
743,0.03,0.007
744,0.03,0.007
745,0.03,0.007
746,0.03,0.007
747,0.03,0.007
748,0.03,0.007
749,0.03,0.007
750,0.03,0.008
751,0.03,0.008
752,0.03,0.008
753,0.03,0.008
754,0.03,0.008
755,0.03,0.008
756,0.03,0.008
757,0.03,0.008
758,0.03,0.008
759,0.03,0.008
760,0.03,0.008
761,0.03,0.008
762,0.03,0.008
763,0.03,0.008
764,0.03,0.008
765,0.03,0.008
766,0.03,0.008
767,0.03,0.008
768,0.03,0.008
769,0.03,0.008
770,0.03,0.008
771,0.03,0.008
772,0.03,0.008
773,0.03,0.008
774,0.03,0.008
775,0.03,0.008
776,0.03,0.008
777,0.03,0.008
778,0.03,0.008
779,0.03,0.008
780,0.03,0.008
781,0.03,0.008
782,0.03,0.008
783,0.03,0.008
784,0.03,0.008
785,0.03,0.008
786,0.03,0.008
787,0.03,0.008
788,0.03,0.008
789,0.03,0.008
790,0.03,0.008
791,0.03,0.008
792,0.03,0.008
793,0.03,0.008
794,0.03,0.008
795,0.03,0.008
796,0.03,0.008
797,0.03,0.008
798,0.03,0.008
799,0.03,0.008
800,0.03,0.009000000000000001
801,0.03,0.009000000000000001
802,0.03,0.009000000000000001
803,0.03,0.009000000000000001
804,0.03,0.009000000000000001
805,0.03,0.009000000000000001
806,0.03,0.009000000000000001
807,0.03,0.009000000000000001
808,0.03,0.009000000000000001
809,0.03,0.009000000000000001
810,0.03,0.009000000000000001
811,0.03,0.009000000000000001
812,0.03,0.009000000000000001
813,0.03,0.009000000000000001
814,0.03,0.009000000000000001
815,0.03,0.009000000000000001
816,0.03,0.009000000000000001
817,0.03,0.009000000000000001
818,0.03,0.009000000000000001
819,0.03,0.009000000000000001
820,0.03,0.009000000000000001
821,0.03,0.009000000000000001
822,0.03,0.009000000000000001
823,0.03,0.009000000000000001
824,0.03,0.009000000000000001
825,0.03,0.009000000000000001
826,0.03,0.009000000000000001
827,0.03,0.009000000000000001
828,0.03,0.009000000000000001
829,0.03,0.009000000000000001
830,0.03,0.009000000000000001
831,0.03,0.009000000000000001
832,0.03,0.009000000000000001
833,0.03,0.009000000000000001
834,0.03,0.009000000000000001
835,0.03,0.009000000000000001
836,0.03,0.009000000000000001
837,0.03,0.009000000000000001
838,0.03,0.009000000000000001
839,0.03,0.009000000000000001
840,0.03,0.009000000000000001
841,0.03,0.009000000000000001
842,0.03,0.009000000000000001
843,0.03,0.009000000000000001
844,0.03,0.009000000000000001
845,0.03,0.009000000000000001
846,0.03,0.009000000000000001
847,0.03,0.009000000000000001
848,0.03,0.009000000000000001
849,0.03,0.009000000000000001
850,0.03,0.01
851,0.03,0.01
852,0.03,0.01
853,0.03,0.01
854,0.03,0.01
855,0.03,0.01
856,0.03,0.01
857,0.03,0.01
858,0.03,0.01
859,0.03,0.01
860,0.03,0.01
861,0.03,0.01
862,0.03,0.01
863,0.03,0.01
864,0.03,0.01
865,0.03,0.01
866,0.03,0.01
867,0.03,0.01
868,0.03,0.01
869,0.03,0.01
870,0.03,0.01
871,0.03,0.01
872,0.03,0.01
873,0.03,0.01
874,0.03,0.01
875,0.03,0.01
876,0.03,0.01
877,0.03,0.01
878,0.03,0.01
879,0.03,0.01
880,0.03,0.01
881,0.03,0.01
882,0.03,0.01
883,0.03,0.01
884,0.03,0.01
885,0.03,0.01
886,0.03,0.01
887,0.03,0.01
888,0.03,0.01
889,0.03,0.01
890,0.03,0.01
891,0.03,0.01
892,0.03,0.01
893,0.03,0.01
894,0.03,0.01
895,0.03,0.01
896,0.03,0.01
897,0.03,0.01
898,0.03,0.01
899,0.03,0.01
900,0.04,0.005
901,0.04,0.005
902,0.04,0.005
903,0.04,0.005
904,0.04,0.005
905,0.04,0.005
906,0.04,0.005
907,0.04,0.005
908,0.04,0.005
909,0.04,0.005
910,0.04,0.005
911,0.04,0.005
912,0.04,0.005
913,0.04,0.005
914,0.04,0.005
915,0.04,0.005
916,0.04,0.005
917,0.04,0.005
918,0.04,0.005
919,0.04,0.005
920,0.04,0.005
921,0.04,0.005
922,0.04,0.005
923,0.04,0.005
924,0.04,0.005
925,0.04,0.005
926,0.04,0.005
927,0.04,0.005
928,0.04,0.005
929,0.04,0.005
930,0.04,0.005
931,0.04,0.005
932,0.04,0.005
933,0.04,0.005
934,0.04,0.005
935,0.04,0.005
936,0.04,0.005
937,0.04,0.005
938,0.04,0.005
939,0.04,0.005
940,0.04,0.005
941,0.04,0.005
942,0.04,0.005
943,0.04,0.005
944,0.04,0.005
945,0.04,0.005
946,0.04,0.005
947,0.04,0.005
948,0.04,0.005
949,0.04,0.005
950,0.04,0.006
951,0.04,0.006
952,0.04,0.006
953,0.04,0.006
954,0.04,0.006
955,0.04,0.006
956,0.04,0.006
957,0.04,0.006
958,0.04,0.006
959,0.04,0.006
960,0.04,0.006
961,0.04,0.006
962,0.04,0.006
963,0.04,0.006
964,0.04,0.006
965,0.04,0.006
966,0.04,0.006
967,0.04,0.006
968,0.04,0.006
969,0.04,0.006
970,0.04,0.006
971,0.04,0.006
972,0.04,0.006
973,0.04,0.006
974,0.04,0.006
975,0.04,0.006
976,0.04,0.006
977,0.04,0.006
978,0.04,0.006
979,0.04,0.006
980,0.04,0.006
981,0.04,0.006
982,0.04,0.006
983,0.04,0.006
984,0.04,0.006
985,0.04,0.006
986,0.04,0.006
987,0.04,0.006
988,0.04,0.006
989,0.04,0.006
990,0.04,0.006
991,0.04,0.006
992,0.04,0.006
993,0.04,0.006
994,0.04,0.006
995,0.04,0.006
996,0.04,0.006
997,0.04,0.006
998,0.04,0.006
999,0.04,0.006
1000,0.04,0.007
1001,0.04,0.007
1002,0.04,0.007
1003,0.04,0.007
1004,0.04,0.007
1005,0.04,0.007
1006,0.04,0.007
1007,0.04,0.007
1008,0.04,0.007
1009,0.04,0.007
1010,0.04,0.007
1011,0.04,0.007
1012,0.04,0.007
1013,0.04,0.007
1014,0.04,0.007
1015,0.04,0.007
1016,0.04,0.007
1017,0.04,0.007
1018,0.04,0.007
1019,0.04,0.007
1020,0.04,0.007
1021,0.04,0.007
1022,0.04,0.007
1023,0.04,0.007
1024,0.04,0.007
1025,0.04,0.007
1026,0.04,0.007
1027,0.04,0.007
1028,0.04,0.007
1029,0.04,0.007
1030,0.04,0.007
1031,0.04,0.007
1032,0.04,0.007
1033,0.04,0.007
1034,0.04,0.007
1035,0.04,0.007
1036,0.04,0.007
1037,0.04,0.007
1038,0.04,0.007
1039,0.04,0.007
1040,0.04,0.007
1041,0.04,0.007
1042,0.04,0.007
1043,0.04,0.007
1044,0.04,0.007
1045,0.04,0.007
1046,0.04,0.007
1047,0.04,0.007
1048,0.04,0.007
1049,0.04,0.007
1050,0.04,0.008
1051,0.04,0.008
1052,0.04,0.008
1053,0.04,0.008
1054,0.04,0.008
1055,0.04,0.008
1056,0.04,0.008
1057,0.04,0.008
1058,0.04,0.008
1059,0.04,0.008
1060,0.04,0.008
1061,0.04,0.008
1062,0.04,0.008
1063,0.04,0.008
1064,0.04,0.008
1065,0.04,0.008
1066,0.04,0.008
1067,0.04,0.008
1068,0.04,0.008
1069,0.04,0.008
1070,0.04,0.008
1071,0.04,0.008
1072,0.04,0.008
1073,0.04,0.008
1074,0.04,0.008
1075,0.04,0.008
1076,0.04,0.008
1077,0.04,0.008
1078,0.04,0.008
1079,0.04,0.008
1080,0.04,0.008
1081,0.04,0.008
1082,0.04,0.008
1083,0.04,0.008
1084,0.04,0.008
1085,0.04,0.008
1086,0.04,0.008
1087,0.04,0.008
1088,0.04,0.008
1089,0.04,0.008
1090,0.04,0.008
1091,0.04,0.008
1092,0.04,0.008
1093,0.04,0.008
1094,0.04,0.008
1095,0.04,0.008
1096,0.04,0.008
1097,0.04,0.008
1098,0.04,0.008
1099,0.04,0.008
1100,0.04,0.009000000000000001
1101,0.04,0.009000000000000001
1102,0.04,0.009000000000000001
1103,0.04,0.009000000000000001
1104,0.04,0.009000000000000001
1105,0.04,0.009000000000000001
1106,0.04,0.009000000000000001
1107,0.04,0.009000000000000001
1108,0.04,0.009000000000000001
1109,0.04,0.009000000000000001
1110,0.04,0.009000000000000001
1111,0.04,0.009000000000000001
1112,0.04,0.009000000000000001
1113,0.04,0.009000000000000001
1114,0.04,0.009000000000000001
1115,0.04,0.009000000000000001
1116,0.04,0.009000000000000001
1117,0.04,0.009000000000000001
1118,0.04,0.009000000000000001
1119,0.04,0.009000000000000001
1120,0.04,0.009000000000000001
1121,0.04,0.009000000000000001
1122,0.04,0.009000000000000001
1123,0.04,0.009000000000000001
1124,0.04,0.009000000000000001
1125,0.04,0.009000000000000001
1126,0.04,0.009000000000000001
1127,0.04,0.009000000000000001
1128,0.04,0.009000000000000001
1129,0.04,0.009000000000000001
1130,0.04,0.009000000000000001
1131,0.04,0.009000000000000001
1132,0.04,0.009000000000000001
1133,0.04,0.009000000000000001
1134,0.04,0.009000000000000001
1135,0.04,0.009000000000000001
1136,0.04,0.009000000000000001
1137,0.04,0.009000000000000001
1138,0.04,0.009000000000000001
1139,0.04,0.009000000000000001
1140,0.04,0.009000000000000001
1141,0.04,0.009000000000000001
1142,0.04,0.009000000000000001
1143,0.04,0.009000000000000001
1144,0.04,0.009000000000000001
1145,0.04,0.009000000000000001
1146,0.04,0.009000000000000001
1147,0.04,0.009000000000000001
1148,0.04,0.009000000000000001
1149,0.04,0.009000000000000001
1150,0.04,0.01
1151,0.04,0.01
1152,0.04,0.01
1153,0.04,0.01
1154,0.04,0.01
1155,0.04,0.01
1156,0.04,0.01
1157,0.04,0.01
1158,0.04,0.01
1159,0.04,0.01
1160,0.04,0.01
1161,0.04,0.01
1162,0.04,0.01
1163,0.04,0.01
1164,0.04,0.01
1165,0.04,0.01
1166,0.04,0.01
1167,0.04,0.01
1168,0.04,0.01
1169,0.04,0.01
1170,0.04,0.01
1171,0.04,0.01
1172,0.04,0.01
1173,0.04,0.01
1174,0.04,0.01
1175,0.04,0.01
1176,0.04,0.01
1177,0.04,0.01
1178,0.04,0.01
1179,0.04,0.01
1180,0.04,0.01
1181,0.04,0.01
1182,0.04,0.01
1183,0.04,0.01
1184,0.04,0.01
1185,0.04,0.01
1186,0.04,0.01
1187,0.04,0.01
1188,0.04,0.01
1189,0.04,0.01
1190,0.04,0.01
1191,0.04,0.01
1192,0.04,0.01
1193,0.04,0.01
1194,0.04,0.01
1195,0.04,0.01
1196,0.04,0.01
1197,0.04,0.01
1198,0.04,0.01
1199,0.04,0.01
1200,0.05,0.005
1201,0.05,0.005
1202,0.05,0.005
1203,0.05,0.005
1204,0.05,0.005
1205,0.05,0.005
1206,0.05,0.005
1207,0.05,0.005
1208,0.05,0.005
1209,0.05,0.005
1210,0.05,0.005
1211,0.05,0.005
1212,0.05,0.005
1213,0.05,0.005
1214,0.05,0.005
1215,0.05,0.005
1216,0.05,0.005
1217,0.05,0.005
1218,0.05,0.005
1219,0.05,0.005
1220,0.05,0.005
1221,0.05,0.005
1222,0.05,0.005
1223,0.05,0.005
1224,0.05,0.005
1225,0.05,0.005
1226,0.05,0.005
1227,0.05,0.005
1228,0.05,0.005
1229,0.05,0.005
1230,0.05,0.005
1231,0.05,0.005
1232,0.05,0.005
1233,0.05,0.005
1234,0.05,0.005
1235,0.05,0.005
1236,0.05,0.005
1237,0.05,0.005
1238,0.05,0.005
1239,0.05,0.005
1240,0.05,0.005
1241,0.05,0.005
1242,0.05,0.005
1243,0.05,0.005
1244,0.05,0.005
1245,0.05,0.005
1246,0.05,0.005
1247,0.05,0.005
1248,0.05,0.005
1249,0.05,0.005
1250,0.05,0.006
1251,0.05,0.006
1252,0.05,0.006
1253,0.05,0.006
1254,0.05,0.006
1255,0.05,0.006
1256,0.05,0.006
1257,0.05,0.006
1258,0.05,0.006
1259,0.05,0.006
1260,0.05,0.006
1261,0.05,0.006
1262,0.05,0.006
1263,0.05,0.006
1264,0.05,0.006
1265,0.05,0.006
1266,0.05,0.006
1267,0.05,0.006
1268,0.05,0.006
1269,0.05,0.006
